shared_name	name	involvement
Gorai.001G015900	GhTBL30-1	xylan backbone synthesis
Gorai.001G040500 	GhCSLC05-1	Xyloglucan
Gorai.001G044700	GhCESA7-1	SCW
Gorai.001G058700	GhGXMT1-1	xylan-side chain synthesis
Gorai.001G066600	GhRRT1-1	RG-I backbone synthesis
Gorai.001G072600	GhFUT6-1	AGP synthesis
Gorai.001G072600 	GhFUT1-2	Xyloglucan
Gorai.001G079300	GhAGP:GALT4-1	AGP synthesis
Gorai.001G083200	GhAXY9-1	Xyloglucan
Gorai.001G104800	GhGAUT8-1	homogalacturonan synthesis
Gorai.001G116900	GhTBL44-1	AGP/homogalacturonan synthesis
Gorai.001G121600	GhGALT29A-1	AGP synthesis
Gorai.001G142100	GhGALT7-1	homogalacturonan synthesis
Gorai.001G172800	GhGAUT1-1	homogalacturonan synthesis
Gorai.001G188500	GhGAUT8-2	homogalacturonan synthesis
Gorai.001G205700	GhGAUT9-1	homogalacturonan synthesis
Gorai.001G206300	GhRRT1-2	RG-I backbone synthesis
Gorai.001G238100	GhCESA4-1	SCW
Gorai.001G243400	GhGAUT6-1	homogalacturonan synthesis
Gorai.001G247300	GhTBL3-1	AGP/homogalacturonan synthesis
Gorai.002G013600	GhGAUT3-1	homogalacturonan synthesis
Gorai.002G062000	GhAGP:GALT1-1	AGP synthesis
Gorai.002G082100	GhGAUT12-2	homogalacturonan synthesis
Gorai.002G111000	GhAXY9-3	Xyloglucan
Gorai.002G129800	GhGALT1-1	homogalacturonan synthesis
Gorai.002G137600	GhIRX9-1	xylan backbone synthesis
Gorai.002G150300 	GhCESA6-1	PCW
Gorai.002G154200	GhTBR-1	AGP/homogalacturonan synthesis
Gorai.002G163200	GhGXMT1-15	xylan-side chain synthesis
Gorai.002G183200	GhGXMT1-14	xylan-side chain synthesis
Gorai.002G210000	GhRRT10-1	RG-I backbone synthesis
Gorai.002G212400	GhCGR2-1	homogalacturonan synthesis
Gorai.002G223800	GhTBR-2	AGP/homogalacturonan synthesis
Gorai.002G266200	GhTBL34-1	xylan backbone synthesis
Gorai.003G026800	GhIRX14-1	xylan backbone synthesis
Gorai.003G032800	GhCGR2-2	homogalacturonan synthesis
Gorai.003G032900	GhCGR2-3	homogalacturonan synthesis
Gorai.003G049300 	GhCESA6-2	PCW
Gorai.003G071200	GhAGP:GALT4-3	AGP synthesis
Gorai.003G092600 	GhCESA3-1	PCW
Gorai.003G098400 	GhXXT3-1	Xyloglucan
Gorai.003G103300	GhRRT1-3	RG-I backbone synthesis
Gorai.003G109000	GhGSL08-1	callose synthesis
Gorai.003G120500	GhGXMT1-13	xylan-side chain synthesis
Gorai.003G156200	GhAGP:HPGT1-1	AGP synthesis
Gorai.003G169500	GhMUR3-4	Xyloglucan
Gorai.004G009500	GhGALT29A-3	AGP synthesis
Gorai.004G018200	GhGSL10-1	callose synthesis
Gorai.004G042500	GhQUA3-1	homogalacturonan synthesis
Gorai.004G051000	GhIRX14-4	xylan backbone synthesis
Gorai.004G051100	GhIRX14-3	xylan backbone synthesis
Gorai.004G052700 	GhXXT2-2	Xyloglucan
Gorai.004G057400	GhCESA4-2	SCW
Gorai.004G065900	GhCESA3-2	PCW
Gorai.004G092500	GhGSL12-1	callose synthesis
Gorai.004G092600	GhGSL12-2	callose synthesis
Gorai.004G155600	GhGAUT1-2	homogalacturonan synthesis
Gorai.004G172400	GhCESA3-3	PCW
Gorai.004G211300 	GhXUT-1	Xyloglucan
Gorai.004G219100	GhGAUT6-4	homogalacturonan synthesis
Gorai.004G257200	GhARAD1-2	AGP synthesis
