Gene_ID	Family
Gorai.013G269300	MYB
Gorai.013G268300	MYB_related
Gorai.013G268200	TCP
Gorai.013G267200	GATA
Gorai.013G267100	ARF
Gorai.013G266900	HD-ZIP
Gorai.013G266400	bZIP
Gorai.013G266300	EIL
Gorai.013G265300	MYB
Gorai.013G265200	C2H2
Gorai.013G264200	WOX
Gorai.013G258300	bZIP
Gorai.013G257100	E2F/DP
Gorai.013G254100	HB-other
Gorai.013G252600	GRAS
Gorai.013G251200	NF-YA
Gorai.013G251100	MYB
Gorai.013G250800	C2H2
Gorai.013G250300	EIL
Gorai.013G249100	RAV
Gorai.013G246200	MYB
Gorai.013G246000	CO-like
Gorai.013G245600	B3
Gorai.013G244500	ERF
Gorai.013G242800	bHLH
Gorai.013G241500	CPP
Gorai.013G233700	C3H
Gorai.013G229000	C3H
Gorai.013G226200	NF-YA
Gorai.013G225300	GRF
Gorai.013G222700	ERF
Gorai.013G220400	HSF
Gorai.013G213900	TALE
Gorai.013G210700	M-type_MADS
Gorai.013G210600	M-type_MADS
Gorai.013G210400	M-type_MADS
Gorai.013G210300	M-type_MADS
Gorai.013G210000	C2H2
Gorai.013G206400	GATA
Gorai.013G205200	NF-YB
Gorai.013G204300	bHLH
Gorai.013G204200	RAV
Gorai.013G204000	RAV
Gorai.013G196800	MYB
Gorai.013G196500	MYB
Gorai.013G196400	WOX
Gorai.013G191800	NAC
Gorai.013G187200	MYB
Gorai.013G186800	ERF
Gorai.013G186700	ERF
Gorai.013G184200	GRF
Gorai.013G183500	HSF
Gorai.013G179800	C3H
Gorai.013G179400	WRKY
Gorai.013G172800	TCP
Gorai.013G172500	bZIP
Gorai.013G172000	HB-other
Gorai.013G171300	NAC
Gorai.013G169800	SBP
Gorai.013G169500	ERF
Gorai.013G168300	M-type_MADS
Gorai.013G167100	NAC
Gorai.013G164700	GRAS
Gorai.013G164100	bHLH
Gorai.013G159200	MYB
Gorai.013G155500	WRKY
Gorai.013G155300	M-type_MADS
Gorai.013G155200	M-type_MADS
Gorai.013G153100	NF-YB
Gorai.013G152500	NF-YB
Gorai.013G146700	C3H
Gorai.013G146300	NAC
Gorai.013G146200	G2-like
Gorai.013G143300	MYB
Gorai.013G143200	MYB
Gorai.013G143100	MYB
Gorai.013G143000	MYB
Gorai.013G140700	NAC
Gorai.013G139200	MYB
Gorai.013G138300	bHLH
Gorai.013G135200	MIKC_MADS
Gorai.013G129400	TALE
Gorai.013G127900	GATA
Gorai.013G126700	C2H2
Gorai.013G124600	MYB_related
Gorai.013G122900	G2-like
Gorai.013G121800	GeBP
Gorai.013G121300	CPP
Gorai.013G118300	MYB
Gorai.013G118000	NAC
Gorai.013G115000	ERF
Gorai.013G114900	MYB
Gorai.013G113000	MYB
Gorai.013G110900	CPP
Gorai.013G106600	MYB
Gorai.013G104500	WRKY
Gorai.013G100200	HD-ZIP
Gorai.013G098600	bHLH
Gorai.013G098000	bHLH
Gorai.013G096100	MIKC_MADS
Gorai.013G096000	MIKC_MADS
