target_id	length	eff_length	est_counts	tpm
Gorai.001G000100.1.A	299	191.139	0	0
Gorai.001G000100.1.D	299	191.139	0	0
Gorai.001G000200.1.A	505	396.941	0	0
Gorai.001G000200.1.D	505	396.941	0	0
Gorai.001G000300.1.A	587	478.941	0	0
Gorai.001G000300.1.D	587	478.941	1	2.00426
Gorai.001G000400.1.A	1443	1334.94	2	1.43815
Gorai.001G000400.1.D	1443	1334.94	0	0
Gorai.001G000500.1.A	983	874.941	1	1.09713
Gorai.001G000500.1.D	983	874.941	2	2.19426
Gorai.001G000600.1.A	675	566.941	0	0
Gorai.001G000600.1.D	675	566.941	0	0
Gorai.001G000700.1.A	935	826.941	0	0
Gorai.001G000700.1.D	935	826.941	0	0
Gorai.001G000800.1.A	1784	1675.94	0.5	0.286383
Gorai.001G000800.1.D	1784	1675.94	0.5	0.286383
Gorai.001G000900.1.A	1551	1442.94	44.9286	29.8889
Gorai.001G000900.1.D	1551	1442.94	57.0714	37.967
Gorai.001G001000.1.A	1974	1865.94	3.375	1.73625
Gorai.001G001000.1.D	1974	1865.94	5.625	2.89375
Gorai.001G001100.1.A	2591	2482.94	28.9773	11.2028
Gorai.001G001100.1.D	2591	2482.94	22.0227	8.51414
Gorai.001G001200.1.A	2440	2331.94	34.9891	14.403
Gorai.001G001200.1.D	2440	2331.94	76.0109	31.2892
Gorai.001G001300.1.A	2275	2166.94	89.9574	39.8498
Gorai.001G001300.1.D	2275	2166.94	61.0426	27.0409
Gorai.001G001400.1.A	1869	1760.94	4	2.18047
Gorai.001G001400.1.D	1869	1760.94	4	2.18047
Gorai.001G001500.1.A	1636	1527.94	12	7.53894
Gorai.001G001500.1.D	1636	1527.94	21	13.1932
Gorai.001G001600.1.A	2414	2305.94	7	2.91397
Gorai.001G001600.1.D	2414	2305.94	6	2.49769
Gorai.001G001700.1.A	621	512.941	0	0
Gorai.001G001700.1.D	621	512.941	0	0
Gorai.001G001800.1.A	1622	1513.94	0	0
Gorai.001G001800.1.D	1622	1513.94	0	0
Gorai.001G001900.1.A	1893	1784.94	0	0
Gorai.001G001900.1.D	1893	1784.94	0	0
Gorai.001G002000.1.A	2575	2466.94	9.6	3.7355
Gorai.001G002000.1.D	2575	2466.94	2.4	0.933874
Gorai.001G002100.1.A	1933	1824.94	0	0
Gorai.001G002100.1.D	1933	1824.94	0	0
Gorai.001G002200.1.A	1511	1402.94	3	2.05266
Gorai.001G002200.1.D	1511	1402.94	16	10.9475
Gorai.001G002300.1.A	9038	8929.94	37.3056	4.01015
Gorai.001G002300.1.D	9038	8929.94	41.6944	4.48193
Gorai.001G002400.1.A	1315	1206.94	19.7308	15.6926
Gorai.001G002400.1.D	1315	1206.94	34.2692	27.2555
Gorai.001G002500.1.A	1371	1262.94	0	0
Gorai.001G002500.1.D	1371	1262.94	0	0
Gorai.001G002600.1.A	1892	1783.94	0	0
Gorai.001G002600.1.D	1892	1783.94	0	0
Gorai.001G002700.1.A	3129	3020.94	2	0.635512
Gorai.001G002700.1.D	3129	3020.94	1	0.317756
Gorai.001G002800.1.A	1758	1649.94	0	0
Gorai.001G002800.1.D	1758	1649.94	0	0
Gorai.001G002900.1.A	3057	2948.94	0	0
Gorai.001G002900.1.D	3057	2948.94	0	0
Gorai.001G003000.1.A	2943	2834.94	0	0
Gorai.001G003000.1.D	2943	2834.94	0	0
Gorai.001G003100.1.A	4194	4085.94	0	0
Gorai.001G003100.1.D	4194	4085.94	1	0.234933
Gorai.001G003200.1.A	2367	2258.94	0	0
Gorai.001G003200.1.D	2367	2258.94	2	0.849887
Gorai.001G003300.1.A	2132	2023.94	42.9565	20.3736
Gorai.001G003300.1.D	2132	2023.94	35.0435	16.6205
Gorai.001G003400.1.A	496	387.941	4	9.89761
Gorai.001G003400.1.D	496	387.941	1	2.4744
Gorai.001G003500.1.A	2044	1935.94	7.36842	3.65358
Gorai.001G003500.1.D	2044	1935.94	12.6316	6.26327
Gorai.001G003600.1.A	2311	2202.94	1.66667	0.726243
Gorai.001G003600.1.D	2311	2202.94	3.33333	1.45249
Gorai.001G003700.1.A	2036	1927.94	42.3529	21.0875
Gorai.001G003700.1.D	2036	1927.94	29.6471	14.7613
Gorai.001G003800.1.A	1186	1077.94	1	0.890514
Gorai.001G003800.1.D	1186	1077.94	0	0
Gorai.001G003900.1.A	1768	1659.94	0	0
Gorai.001G003900.1.D	1768	1659.94	0	0
Gorai.001G004000.1.A	2980	2871.94	167.594	56.0168
Gorai.001G004000.1.D	2980	2871.94	178.406	59.6308
Gorai.001G004100.1.A	1773	1664.94	0	0
Gorai.001G004100.1.D	1773	1664.94	0	0
Gorai.001G004200.1.A	1672	1563.94	25.0909	15.4004
Gorai.001G004200.1.D	1672	1563.94	10.9091	6.69583
Gorai.001G004300.1.A	1755	1646.94	0	0
Gorai.001G004300.1.D	1755	1646.94	0	0
Gorai.001G004400.1.A	1633	1524.94	0	0
Gorai.001G004400.1.D	1633	1524.94	0	0
Gorai.001G004500.1.A	2100	1991.94	7.57895	3.65232
Gorai.001G004500.1.D	2100	1991.94	16.4211	7.91335
Gorai.001G004600.1.A	554	445.941	0	0
Gorai.001G004600.1.D	554	445.941	0	0
Gorai.001G004700.1.A	773	664.941	0	0
Gorai.001G004700.1.D	773	664.941	0	0
Gorai.001G004800.1.A	1302	1193.94	8	6.43196
Gorai.001G004800.1.D	1302	1193.94	5	4.01997
Gorai.001G004900.1.A	694	585.941	1	1.63826
Gorai.001G004900.1.D	694	585.941	0	0
Gorai.001G005000.1.A	1167	1058.94	4	3.62597
Gorai.001G005000.1.D	1167	1058.94	0	0
Gorai.001G005100.1.A	803	694.941	0	0
Gorai.001G005100.1.D	803	694.941	0	0
Gorai.001G005200.1.A	2688	2579.94	27.1556	10.1038
Gorai.001G005200.1.D	2688	2579.94	19.8444	7.38355
Gorai.001G005300.1.A	1090	981.941	0	0
Gorai.001G005300.1.D	1090	981.941	0	0
Gorai.001G005400.1.A	1650	1541.94	0	0
Gorai.001G005400.1.D	1650	1541.94	0	0
Gorai.001G005500.1.A	1881	1772.94	0	0
Gorai.001G005500.1.D	1881	1772.94	1	0.541429
Gorai.001G005600.1.A	2246	2137.94	20.4074	9.1628
Gorai.001G005600.1.D	2246	2137.94	8.59259	3.85802
Gorai.001G005700.1.A	2563	2454.94	54.8706	21.4553
Gorai.001G005700.1.D	2563	2454.94	33.1294	12.9541
Gorai.001G005800.1.A	1320	1211.94	8.61538	6.82384
Gorai.001G005800.1.D	1320	1211.94	7.38462	5.84901
Gorai.001G005900.1.A	2902	2793.94	2	0.687145
Gorai.001G005900.1.D	2902	2793.94	12	4.12287
Gorai.001G006000.1.A	2535	2426.94	2	0.791055
Gorai.001G006000.1.D	2535	2426.94	1	0.395527
Gorai.001G006100.1.A	2524	2415.94	0	0
Gorai.001G006100.1.D	2524	2415.94	2	0.794657
Gorai.001G006200.1.A	2724	2615.94	6	2.20171
Gorai.001G006200.1.D	2724	2615.94	3	1.10085
Gorai.001G006300.1.A	817	708.941	4.57143	6.18982
Gorai.001G006300.1.D	817	708.941	3.42857	4.64236
Gorai.001G006400.1.A	2609	2500.94	0	0
Gorai.001G006400.1.D	2609	2500.94	2	0.767649
Gorai.001G006500.1.A	2379	2270.94	1	0.422698
Gorai.001G006500.1.D	2379	2270.94	0	0
Gorai.001G006600.1.A	1814	1705.94	22	12.3793
Gorai.001G006600.1.D	1814	1705.94	20	11.2539
Gorai.001G006700.1.A	1234	1125.94	0.5	0.426275
Gorai.001G006700.1.D	1234	1125.94	0.5	0.426275
Gorai.001G006800.1.A	663	554.941	4.66667	8.07228
Gorai.001G006800.1.D	663	554.941	2.33333	4.03614
Gorai.001G006900.1.A	321	213.102	0.654281	2.94722
Gorai.001G006900.1.D	321	213.102	0	0
Gorai.001G007000.1.A	2302	2193.94	0.5	0.218767
Gorai.001G007000.1.D	2302	2193.94	0.5	0.218767
Gorai.001G007100.1.A	1885	1776.94	2.28571	1.23477
Gorai.001G007100.1.D	1885	1776.94	5.71429	3.08692
Gorai.001G007200.1.A	1096	987.941	4	3.88656
Gorai.001G007200.1.D	1096	987.941	2	1.94328
Gorai.001G007300.1.A	711	602.941	0	0
Gorai.001G007300.1.D	711	602.941	0	0
Gorai.001G007400.1.A	2197	2088.94	22	10.1096
Gorai.001G007400.1.D	2197	2088.94	4	1.8381
Gorai.001G007500.1.A	1448	1339.94	5	3.58196
Gorai.001G007500.1.D	1448	1339.94	2	1.43278
Gorai.001G007600.1.A	3680	3571.94	14	3.76235
Gorai.001G007600.1.D	3680	3571.94	0	0
Gorai.001G007700.1.A	1128	1019.94	0	0
Gorai.001G007700.1.D	1128	1019.94	0	0
Gorai.001G007800.1.A	1533	1424.94	0	0
Gorai.001G007800.1.D	1533	1424.94	0	0
Gorai.001G007900.1.A	2493	2384.94	4	1.60997
Gorai.001G007900.1.D	2493	2384.94	2	0.804986
Gorai.001G008000.1.A	1954	1845.94	0	0
Gorai.001G008000.1.D	1954	1845.94	4	2.08007
Gorai.001G008100.1.A	1792	1683.94	0	0
Gorai.001G008100.1.D	1792	1683.94	0	0
Gorai.001G008200.1.A	2931	2822.94	0	0
Gorai.001G008200.1.D	2931	2822.94	0	0
Gorai.001G008300.1.A	1060	951.941	0	0
Gorai.001G008300.1.D	1060	951.941	0	0
Gorai.001G008400.1.A	1580	1471.94	0	0
Gorai.001G008400.1.D	1580	1471.94	0	0
Gorai.001G008500.1.A	1876	1767.94	1	0.54296
Gorai.001G008500.1.D	1876	1767.94	3	1.62888
Gorai.001G008600.1.A	793	684.941	0	0
