target_id	length	eff_length	est_counts	tpm
Gorai.001G000100.1.A	299	192.892	0	0
Gorai.001G000100.1.D	299	192.892	1	0.301001
Gorai.001G000200.1.A	505	398.592	24	3.49595
Gorai.001G000200.1.D	505	398.592	0	0
Gorai.001G000300.1.A	587	480.592	1.52527	0.184269
Gorai.001G000300.1.D	587	480.592	12.4483	1.50388
Gorai.001G000400.1.A	1443	1336.59	6	0.260636
Gorai.001G000400.1.D	1443	1336.59	0	0
Gorai.001G000500.1.A	983	876.592	26	1.7221
Gorai.001G000500.1.D	983	876.592	26	1.7221
Gorai.001G000600.1.A	675	568.592	0	0
Gorai.001G000600.1.D	675	568.592	0	0
Gorai.001G000700.1.A	935	828.592	0.5	0.0350357
Gorai.001G000700.1.D	935	828.592	0.5	0.0350357
Gorai.001G000800.1.A	1784	1677.59	14.4242	0.499216
Gorai.001G000800.1.D	1784	1677.59	19.5758	0.677508
Gorai.001G000900.1.A	1551	1444.59	446.577	17.9487
Gorai.001G000900.1.D	1551	1444.59	517.423	20.7961
Gorai.001G001000.1.A	1974	1867.59	92.4317	2.87356
Gorai.001G001000.1.D	1974	1867.59	106.568	3.31305
Gorai.001G001100.1.A	2591	2484.59	116.609	2.72495
Gorai.001G001100.1.D	2591	2484.59	136.391	3.18722
Gorai.001G001200.1.A	2440	2333.59	365.365	9.09043
Gorai.001G001200.1.D	2440	2333.59	653.635	16.2627
Gorai.001G001300.1.A	2275	2168.59	889.222	23.8075
Gorai.001G001300.1.D	2275	2168.59	591.778	15.8439
Gorai.001G001400.1.A	1869	1762.59	54	1.77879
Gorai.001G001400.1.D	1869	1762.59	36	1.18586
Gorai.001G001500.1.A	1636	1529.59	76	2.88483
Gorai.001G001500.1.D	1636	1529.59	115	4.3652
Gorai.001G001600.1.A	2414	2307.59	113.476	2.85513
Gorai.001G001600.1.D	2414	2307.59	161.524	4.06406
Gorai.001G001700.1.A	621	514.592	0	0
Gorai.001G001700.1.D	621	514.592	0	0
Gorai.001G001800.1.A	1622	1515.59	14	0.536325
Gorai.001G001800.1.D	1622	1515.59	10	0.383089
Gorai.001G001900.1.A	1893	1786.59	3	0.097494
Gorai.001G001900.1.D	1893	1786.59	1	0.032498
Gorai.001G002000.1.A	2575	2468.59	42.6667	1.00351
Gorai.001G002000.1.D	2575	2468.59	21.3333	0.501755
Gorai.001G002100.1.A	1933	1826.59	0	0
Gorai.001G002100.1.D	1933	1826.59	0	0
Gorai.001G002200.1.A	1511	1404.59	102.622	4.24201
Gorai.001G002200.1.D	1511	1404.59	492.378	20.3531
Gorai.001G002300.1.A	9038	8931.59	139.357	0.905906
Gorai.001G002300.1.D	9038	8931.59	277.643	1.80484
Gorai.001G002400.1.A	1315	1208.59	483.745	23.2391
Gorai.001G002400.1.D	1315	1208.59	643.255	30.9019
Gorai.001G002500.1.A	1371	1264.59	0	0
Gorai.001G002500.1.D	1371	1264.59	0	0
Gorai.001G002600.1.A	1892	1785.59	0	0
Gorai.001G002600.1.D	1892	1785.59	0	0
Gorai.001G002700.1.A	3129	3022.59	76.6172	1.47173
Gorai.001G002700.1.D	3129	3022.59	0	0
Gorai.001G002800.1.A	1758	1651.59	9	0.316389
Gorai.001G002800.1.D	1758	1651.59	1	0.0351544
Gorai.001G002900.1.A	3057	2950.59	0	0
Gorai.001G002900.1.D	3057	2950.59	0	0
Gorai.001G003000.1.A	2943	2836.59	0	0
Gorai.001G003000.1.D	2943	2836.59	0	0
Gorai.001G003100.1.A	4194	4087.59	3.78261	0.0537286
Gorai.001G003100.1.D	4194	4087.59	25.2174	0.358191
Gorai.001G003200.1.A	2367	2260.59	1.33333	0.0342451
Gorai.001G003200.1.D	2367	2260.59	30.6667	0.787638
Gorai.001G003300.1.A	2132	2025.59	315.962	9.05659
Gorai.001G003300.1.D	2132	2025.59	251.038	7.19565
Gorai.001G003400.1.A	496	389.592	180.861	26.9537
Gorai.001G003400.1.D	496	389.592	29.1388	4.34253
Gorai.001G003500.1.A	2044	1937.59	142.158	4.25983
Gorai.001G003500.1.D	2044	1937.59	161.842	4.84965
Gorai.001G003600.1.A	2311	2204.59	4.36364	0.114922
Gorai.001G003600.1.D	2311	2204.59	7.63636	0.201113
Gorai.001G003700.1.A	2036	1929.59	387.516	11.6602
Gorai.001G003700.1.D	2036	1929.59	349.484	10.5158
Gorai.001G003800.1.A	1186	1079.59	1	0.0537802
Gorai.001G003800.1.D	1186	1079.59	1	0.0537802
Gorai.001G003900.1.A	1768	1661.59	0	0
Gorai.001G003900.1.D	1768	1661.59	0	0
Gorai.001G004000.1.A	2980	2873.59	25371.4	512.626
Gorai.001G004000.1.D	2980	2873.59	20607.6	416.375
Gorai.001G004100.1.A	1773	1666.59	0	0
Gorai.001G004100.1.D	1773	1666.59	0	0
Gorai.001G004200.1.A	1672	1565.59	168.129	6.23516
Gorai.001G004200.1.D	1672	1565.59	116.871	4.33419
Gorai.001G004300.1.A	1755	1648.59	0	0
Gorai.001G004300.1.D	1755	1648.59	0	0
Gorai.001G004400.1.A	1633	1526.59	2	0.0760657
Gorai.001G004400.1.D	1633	1526.59	0	0
Gorai.001G004500.1.A	2100	1993.59	241.222	7.02527
Gorai.001G004500.1.D	2100	1993.59	259.778	7.56568
Gorai.001G004600.1.A	554	447.592	31	4.02125
Gorai.001G004600.1.D	554	447.592	0	0
Gorai.001G004700.1.A	773	666.592	0	0
Gorai.001G004700.1.D	773	666.592	0	0
Gorai.001G004800.1.A	1302	1195.59	339	16.4626
Gorai.001G004800.1.D	1302	1195.59	256	12.4319
Gorai.001G004900.1.A	694	587.592	131.941	13.0372
Gorai.001G004900.1.D	694	587.592	14.0593	1.38921
Gorai.001G005000.1.A	1167	1060.59	51.9623	2.8446
Gorai.001G005000.1.D	1167	1060.59	2.03774	0.111553
Gorai.001G005100.1.A	803	696.592	0	0
Gorai.001G005100.1.D	803	696.592	0	0
Gorai.001G005200.1.A	2688	2581.59	273.253	6.14553
Gorai.001G005200.1.D	2688	2581.59	146.747	3.30038
Gorai.001G005300.1.A	1090	983.592	0	0
Gorai.001G005300.1.D	1090	983.592	2	0.118058
Gorai.001G005400.1.A	1650	1543.59	12	0.451368
Gorai.001G005400.1.D	1650	1543.59	26	0.977964
Gorai.001G005500.1.A	1881	1774.59	1.16667	0.0381707
Gorai.001G005500.1.D	1881	1774.59	26.8333	0.877926
Gorai.001G005600.1.A	2246	2139.59	53	1.43823
Gorai.001G005600.1.D	2246	2139.59	42	1.13973
Gorai.001G005700.1.A	2563	2456.59	1857.45	43.9003
Gorai.001G005700.1.D	2563	2456.59	915.546	21.6386
Gorai.001G005800.1.A	1320	1213.59	82.1269	3.92911
Gorai.001G005800.1.D	1320	1213.59	72.8731	3.4864
Gorai.001G005900.1.A	2902	2795.59	10	0.207686
Gorai.001G005900.1.D	2902	2795.59	53	1.10074
