target_id	length	eff_length	est_counts	tpm
Gorai.001G000100.1.A	299	193.99	0	0
Gorai.001G000100.1.D	299	193.99	3	0.747093
Gorai.001G000200.1.A	505	399.915	15	1.81199
Gorai.001G000200.1.D	505	399.915	0	0
Gorai.001G000300.1.A	587	481.915	2.16658	0.217189
Gorai.001G000300.1.D	587	481.915	11.0811	1.11082
Gorai.001G000400.1.A	1443	1337.81	208.056	7.51309
Gorai.001G000400.1.D	1443	1337.81	5.94444	0.21466
Gorai.001G000500.1.A	983	877.81	65.8	3.62125
Gorai.001G000500.1.D	983	877.81	28.2	1.55197
Gorai.001G000600.1.A	675	569.865	0	0
Gorai.001G000600.1.D	675	569.865	0	0
Gorai.001G000700.1.A	935	829.81	0	0
Gorai.001G000700.1.D	935	829.81	0	0
Gorai.001G000800.1.A	1784	1678.81	39.6842	1.14196
Gorai.001G000800.1.D	1784	1678.81	18.3158	0.527057
Gorai.001G000900.1.A	1551	1445.81	304.247	10.166
Gorai.001G000900.1.D	1551	1445.81	355.753	11.887
Gorai.001G001000.1.A	1974	1868.81	92.3049	2.38612
Gorai.001G001000.1.D	1974	1868.81	81.6951	2.11186
Gorai.001G001100.1.A	2591	2485.81	269.076	5.22927
Gorai.001G001100.1.D	2591	2485.81	251.924	4.89593
Gorai.001G001200.1.A	2440	2334.81	1299.42	26.8863
Gorai.001G001200.1.D	2440	2334.81	1453.58	30.0761
Gorai.001G001300.1.A	2275	2169.81	1051.67	23.4148
Gorai.001G001300.1.D	2275	2169.81	885.332	19.7114
Gorai.001G001400.1.A	1869	1763.81	71.3812	1.95509
Gorai.001G001400.1.D	1869	1763.81	118.619	3.24889
Gorai.001G001500.1.A	1636	1530.81	263.454	8.31413
Gorai.001G001500.1.D	1636	1530.81	364.546	11.5044
Gorai.001G001600.1.A	2414	2308.81	300.674	6.29131
Gorai.001G001600.1.D	2414	2308.81	387.326	8.10443
Gorai.001G001700.1.A	621	515.915	0	0
Gorai.001G001700.1.D	621	515.915	0	0
Gorai.001G001800.1.A	1622	1516.81	24.1667	0.769696
Gorai.001G001800.1.D	1622	1516.81	33.8333	1.07757
Gorai.001G001900.1.A	1893	1787.81	32.6531	0.88234
Gorai.001G001900.1.D	1893	1787.81	17.3469	0.468743
Gorai.001G002000.1.A	2575	2469.81	637.702	12.4735
Gorai.001G002000.1.D	2575	2469.81	232.298	4.54376
Gorai.001G002100.1.A	1933	1827.81	1	0.0264303
Gorai.001G002100.1.D	1933	1827.81	0	0
Gorai.001G002200.1.A	1511	1405.81	120.857	4.15317
Gorai.001G002200.1.D	1511	1405.81	161.143	5.53756
Gorai.001G002300.1.A	9038	8932.81	648.799	3.50877
Gorai.001G002300.1.D	9038	8932.81	707.201	3.82462
Gorai.001G002400.1.A	1315	1209.81	238.111	9.50814
Gorai.001G002400.1.D	1315	1209.81	281.889	11.2563
Gorai.001G002500.1.A	1371	1265.81	0	0
Gorai.001G002500.1.D	1371	1265.81	3	0.114495
Gorai.001G002600.1.A	1892	1786.81	0.5	0.0135184
Gorai.001G002600.1.D	1892	1786.81	0.5	0.0135184
Gorai.001G002700.1.A	3129	3023.81	142.788	2.28125
Gorai.001G002700.1.D	3129	3023.81	22.2115	0.354861
Gorai.001G002800.1.A	1758	1652.81	0	0
Gorai.001G002800.1.D	1758	1652.81	2	0.0584576
Gorai.001G002900.1.A	3057	2951.81	0	0
Gorai.001G002900.1.D	3057	2951.81	0	0
Gorai.001G003000.1.A	2943	2837.81	0	0
Gorai.001G003000.1.D	2943	2837.81	0	0
Gorai.001G003100.1.A	4194	4088.81	0	0
Gorai.001G003100.1.D	4194	4088.81	2	0.0236302
Gorai.001G003200.1.A	2367	2261.81	13.3787	0.285754
Gorai.001G003200.1.D	2367	2261.81	248.621	5.31026
Gorai.001G003300.1.A	2132	2026.81	597.646	14.2451
Gorai.001G003300.1.D	2132	2026.81	447.354	10.6628
Gorai.001G003400.1.A	496	390.952	0	0
Gorai.001G003400.1.D	496	390.952	0	0
Gorai.001G003500.1.A	2044	1938.81	156.511	3.89982
Gorai.001G003500.1.D	2044	1938.81	155.489	3.87433
Gorai.001G003600.1.A	2311	2205.81	3.26449	0.0714959
Gorai.001G003600.1.D	2311	2205.81	20.516	0.449323
Gorai.001G003700.1.A	2036	1930.81	359.182	8.98687
Gorai.001G003700.1.D	2036	1930.81	608.818	15.2329
Gorai.001G003800.1.A	1186	1080.81	44.4059	1.98484
Gorai.001G003800.1.D	1186	1080.81	70.5941	3.15539
Gorai.001G003900.1.A	1768	1662.81	0	0
Gorai.001G003900.1.D	1768	1662.81	3	0.087159
Gorai.001G004000.1.A	2980	2874.81	211.214	3.54933
Gorai.001G004000.1.D	2980	2874.81	209.786	3.52535
Gorai.001G004100.1.A	1773	1667.81	0	0
Gorai.001G004100.1.D	1773	1667.81	0	0
Gorai.001G004200.1.A	1672	1566.81	294.774	9.08879
Gorai.001G004200.1.D	1672	1566.81	303.226	9.3494
Gorai.001G004300.1.A	1755	1649.81	0	0
Gorai.001G004300.1.D	1755	1649.81	0	0
Gorai.001G004400.1.A	1633	1527.81	2.10638	0.0666042
Gorai.001G004400.1.D	1633	1527.81	96.8936	3.06379
